"Aliphatic esters" C6H10O4 0.224 146 6.1 28.7 33.0 25.7 7.3 0.001 0.003
"Aliphatic esters" C5H8O4 0.210 132 7.7 32.2 31.7 24.2 7.5 0.001 0.005
"Aliphatic esters" C5H10O3 0.214 118 7.0 30.8 30.4 23.3 7.0 0.001 0.005
"Aliphatic esters" C7H14O3 0.206 146 8.5 33.3 32.7 24.9 7.8 0.001 0.007
"Aliphatic esters" C8H16O3 0.203 160 9.0 34.3 33.6 25.5 8.1 0.001 0.007
"Aliphatic esters" C5H10O3 0.214 118 7.0 30.8 30.4 23.3 7.0 0.001 0.005
"Aliphatic alcohols" CH4O 0.305 32 6.4 20.0 19.4 16.6 2.8 0.001 0.001
"Aliphatic alcohols" C2H6O 0.225 46 9.0 27.7 26.9 20.5 6.4 0.001 0.008
"Aliphatic alcohols" C3H8O 0.155 60 10.3 31.8 30.3 21.5 8.8 0.004 0.016
"Aliphatic alcohols" C3H8O 0.148 60 10.3 31.8 29.9 20.7 9.2 0.003 0.017
"Aliphatic alcohols" C4H10O 0.141 74 11.1 34.4 32.5 22.5 10.0 0.006 0.020
"Aliphatic alcohols" C4H10O 0.141 74 11.1 34.4 32.5 22.5 10.0 0.006 0.020
"Aliphatic alcohols" C4H10O 0.141 74 11.1 34.4 32.5 22.5 10.0 0.006 0.020
"Aliphatic alcohols" C4H10O 0.141 74 11.1 34.4 32.5 22.5 10.0 0.006 0.020
"Aliphatic alcohols" C5H12O 0.131 88 11.7 36.2 34.0 23.2 10.8 0.007 0.024
"Aliphatic alcohols" C5H12O 0.131 88 11.7 36.2 34.0 23.2 10.8 0.007 0.024
"Aliphatic alcohols" C5H12O 0.131 88 11.7 36.2 34.0 23.2 10.8 0.007 0.024
"Aliphatic alcohols" C5H12O 0.131 88 11.7 36.2 34.0 23.2 10.8 0.007 0.024
"Aliphatic alcohols" C5H12O 0.131 88 11.7 36.2 34.0 23.2 10.8 0.007 0.024
"Aliphatic alcohols" C6H14O 0.125 102 12.1 37.4 34.9 23.6 11.4 0.008 0.026
"Aliphatic alcohols" C6H14O 0.125 102 12.1 37.4 34.9 23.6 11.4 0.008 0.026
"Aliphatic alcohols" C6H14O 0.125 102 12.1 37.4 34.9 23.6 11.4 0.008 0.026
